 from,to,position,time
fk,London_Ballett,Principal_Dancer,2021
sl,Boston_School,Ausbildung,1986
sl,Boston_Ballett,Corps_de_Ballett,1998
sl,Boston_Ballett,Solist,2001
sl,London_Ballett,Principal_Dancer,2003
sl,London_Ballett,Erster_Solist,2004
sl,London_Ballett,Principal_Dancer,2006
mmag,Rio_de_Janeiro,Ausbildung,2002
mmag,London_School,Ausbildung,NA
mmag,London_Ballett,Corps_de_Ballett,2012
mmag,London_Ballett,Halbsolist,2015
mmag,London_Ballett,Solist,2016
mmag,London_Ballett,Erster_Solist,2018
mmag,London_Ballett,Principal_Dancer,2021
sm,London_School,Ausbildung,2003
sm,London_Ballett,Halbsolist,2005
sm,London_Ballett,Solist,2006
sm,London_Ballett,Erster_Solist,2008
sm,London_Ballett,Principal_Dancer,2009
vm,Perm,Ausbildung,1999
vm,London_School,Ausbildung,2006
vm,London_English_Ballett,NA,2009
vm,London_English_Ballett,Erster_Solist,2010
vm,London_English_Ballett,Principal_Dancer,2011
vm,London_English_Ballett,Lead_Principal_Dancer,2012
vm,London_Ballett,Principal_Dancer,2014
yn,London_School,Ausbildung,2004
yn,London_Ballett,Corps_de_Ballett,2010
yn,London_Ballett,Halbsolist,2012
yn,London_Ballett,Solist,2014
yn,London_Ballett,Erster_Solist,2016
yn,London_Ballett,Principal_Dancer,2017
mn,Buenos_Aires_School,Ausbildung,1988
mn,Buenos_Aires,NA,1996
mn,London_School,Ausbildung,1997
mn,London_Ballett,NA,1998
mn,London_Ballett,Erster_Solist,2000
mn,London_Ballett,Principal_Dancer,2002
ql,Shenyang,Ausbildung,1998
ql,Shenyang,Principal_Dancer,2006
ql,Amsterdam,Corps_de_Ballett,2012
ql,Amsterdam,Coryphée,2013
ql,Amsterdam,Zweite_Solistin,2013
ql,Amsterdam,Principal_Dancer,2016
mama,Tiflis,Ausbildung,1994
mama,Denver,Ausbildung,2002
mama,Denver,Principal_Dancer,2004
mama,Birmingham_Ballett,Solistin,2006
mama,Amsterdam,Sujet,2007
mama,Amsterdam,Solistin,2009
mama,Amsterdam,Principal_Dancer,2010
ao,Krasnoyarsk_Opera,Ausbildung,1995
ao,Krasnoyarsk_Ballet,Solistin,2003
ao,St_Petersburg,Principal_Dancer,2011
ao,Moskau,Principal_Dancer,2012
ao,Amsterdam,Principal_Dancer,2015
ao,Moskau_GITIS,Certified_Ballet_Teacher,2018
os,St_Petersburg_Vaganova,Ausbildung,2011
os,Moskau_Bolshoi,Solistin,2011
os,Moskau_Bolshoi,Prima_Ballerina,2013
os,Amsterdam,Principal_Dancer,2022
no,Moskau_School,Ausbildung,1994
no,Moskau_Bolshoi_Academy,Ausbildung,1995
no,Moskau_Bolshoi,Corps_de_Ballett,2004
no,Moskau_Bolshoi,Principal_Dancer,2010
no,St_Petersburg_Ballett,Principal_Dancer,2011
no,New_York,Principal_Dancer,2012
no,London_Ballett,Principal_Dancer,2013
aro,London_Children,Ausbildung,1996
aro,London_School,Ausbildung,2005
aro,London_Ballett,NA,2012
aro,London_Ballett,Halbsolist,2016
aro,London_Ballett,Solist,2017
aro,London_Ballett,Erster_Solist,2019
aro,London_Ballett,Principal_Dancer,2021
cr,London_School,Ausbildung,2012
cr,London_Ballett,NA,2014
cr,London_Ballett,Halbsolist,2017
cr,London_Ballett,Solist,2018
cr,London_Ballett,Erster_Solist,2021
cr,London_Ballett,Principal_Dancer,2024
ms,Lissabon,Ausbildung,2002
ms,London_School,Ausbildung,2010
ms,London_Ballett,Halbsolist,2014
ms,London_Ballett,Solist,2015
ms,London_Ballett,Erster_Solist,2017
ms,London_Ballett,Principal_Dancer,2019
js,Ware,Ausbildung,NA
js,London_School,Ausbildung,2011
js,London_Ballett,Halbsolist,2018
js,London_Ballett,Solist,2021
js,London_Ballett,Erster_Solist,2022
js,London_Ballett,Principal_Dancer,2024
ata,Tokio_Studio,NA,1993
ata,Moskau_Bolshoi,NA,2006
ata,London_Ballett,NA,2009
ata,London_Ballett,Halbsolist,2010
ata,London_Ballett,Solist,2011
ata,London_Ballett,Erster_Solist,2014
ata,London_Ballett,Principal_Dancer,2016
at,Novosibirsk,Ausbildung,1988
at,Moskau_Bolshoi,Solistin,1997
at,Budapest,Erster_Solistin,2004
at,Amsterdam,Principal_Dancer,2007
jx,Toronto,Ausbildung,2005
jx,Amsterdam,Junior_Company,2013
jx,Amsterdam,Élève,2014
jx,Amsterdam,Corps_de_Ballett,2015
jx,Amsterdam,Coryphée,2016
jx,Amsterdam,Grand_Sujet,2018
jx,Amsterdam,Solistin,2019
jx,Amsterdam,Principal_Dancer,2020
yz,Chengdu,Ausbildung,1986
yz,Shanghai,Ausbildung,2010
yz,Amsterdam,Junior_Company,2014
yz,Amsterdam,Élève,2015
yz,Amsterdam,Corps_de_Ballett,2016
yz,Amsterdam,Coryphée,2017
yz,Amsterdam,Grand_Sujet,2018
yz,Amsterdam,Solistin,2019
yz,Amsterdam,Principal_Dancer,2024
ss,Kiew,Ausbildung,1989
ss,St_Petersburg_Vaganova,Ausbildung,1995
ss,St_Petersburg_Mariinsky,NA,1996
ss,St_Petersburg_Mariinsky,Solist,1997
ss,Moskau_Bolshoi,Solist,2003
ak,St_Petersburg_Vaganova,Ausbildung,2008
ak,Moskau_Bolshoi,NA,2016
ak,Moskau_Bolshoi,Principal_Dancer,2021
jst,St_Petersburg_Vaganova,Ausbildung,2001
jst,St_Petersburg_Mariinsky,NA,2009
jst,Moskau_Kammeroper,Solist,2014
jst,Moskau_Bolshoi,NA,2015
ast,Moskau_Bolshoi_Academy,Ausbildung,NA
ast,Moskau_Bolshoi,NA,2003
ast,Moskau_Bolshoi,Principal_Dancer,2014
an,Moskau_Bolshoi_Academy,NA,NA
an,Moskau_Bolshoi,NA,2003
an,Moskau_Bolshoi,Principal_Dancer,2014
eo,St_Petersburg_Vaganova,Ausbildung,1994
eo,St_Petersburg_Mariinsky,NA,2002
eo,Moskau_Bolshoi,Principal_Dancer,2012
ek,Moskau_Galina,NA,1995
ek,Moskau_Bolshoi_Academy,NA,1996
ek,Moskau_Bolshoi,NA,2003
